Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
1,2024-01-01,,09:19:00,72103.56,,,,,2024-01-01,,15:15:00,72194.55,403.0,,,2119.0,-80.0,Exit Condition Met For Trade
1.1,2024-01-01,Monday,09:19:00,332.0,20,CE,72500.0,Sell,2024-01-01,Monday,13:58:00,415.0,-1660.0,-25.0,2024-01-05,,,Stop Loss Hit
1.2,2024-01-01,Monday,09:19:00,348.7,20,PE,71900.0,Sell,2024-01-01,Monday,15:15:00,245.55,2062.9999999999995,29.581301978778317,2024-01-05,,,Exit Condition Met For Trade
2,2024-01-02,,09:19:00,72155.69,,,,,2024-01-02,,15:15:00,71886.1,1296.0,,,1522.0,-681.0,Exit Condition Met For Trade
2.1,2024-01-02,Tuesday,09:19:00,329.8,20,CE,72400.0,Sell,2024-01-02,Tuesday,15:15:00,174.1,3114.0000000000005,47.21043056397817,2024-01-05,,,Exit Condition Met For Trade
2.2,2024-01-02,Tuesday,09:19:00,363.55,20,PE,72200.0,Sell,2024-01-02,Tuesday,09:57:00,454.45,-1817.9999999999995,-25.003438316600185,2024-01-05,,,Stop Loss Hit
3,2024-01-03,,09:19:00,71688.47,,,,,2024-01-03,,15:15:00,71366.41,2248.0,,,2360.0,-1484.0,Exit Condition Met For Trade
3.1,2024-01-03,Wednesday,09:19:00,340.0,20,CE,71700.0,Sell,2024-01-03,Wednesday,15:15:00,138.9,4022.0,59.14705882352941,2024-01-05,,,Exit Condition Met For Trade
3.2,2024-01-03,Wednesday,09:19:00,354.7,20,PE,71700.0,Sell,2024-01-03,Wednesday,09:44:00,443.4,-1773.9999999999998,-25.007048209754718,2024-01-05,,,Stop Loss Hit
4,2024-01-04,,09:19:00,71647.05,,,,,2024-01-04,,15:15:00,71830.94,2834.0,,,2834.0,-961.0,Exit Condition Met For Trade
4.1,2024-01-04,Thursday,09:19:00,317.85,20,CE,71500.0,Sell,2024-01-04,Thursday,09:31:00,397.3,-1588.9999999999998,-24.996067327355668,2024-01-05,,,Stop Loss Hit
4.2,2024-01-04,Thursday,09:19:00,317.8,20,PE,71800.0,Sell,2024-01-04,Thursday,15:15:00,96.65,4423.0,69.58779106356198,2024-01-05,,,Exit Condition Met For Trade
5,2024-01-05,,09:19:00,72132.07,,,,,2024-01-05,,15:15:00,72060.84,545.0,,,3176.0,-144.0,Exit Condition Met For Trade
5.1,2024-01-05,Friday,09:19:00,323.8,20,CE,71800.0,Sell,2024-01-05,Friday,15:15:00,216.95,2137.0000000000005,32.99876466954911,2024-01-05,,,Exit Condition Met For Trade
5.2,2024-01-05,Friday,09:19:00,318.3,20,PE,72400.0,Sell,2024-01-05,Friday,10:44:00,397.9,-1591.9999999999993,-25.007854225573347,2024-01-05,,,Stop Loss Hit
6,2024-01-08,,09:19:00,72104.45,,,,,2024-01-08,,15:15:00,71362.3,2716.0,,,2744.0,-1559.0,Exit Condition Met For Trade
6.1,2024-01-08,Monday,09:19:00,339.25,20,CE,72300.0,Sell,2024-01-08,Monday,15:15:00,116.0,4465.0,65.8069270449521,2024-01-12,,,Exit Condition Met For Trade
6.2,2024-01-08,Monday,09:19:00,349.8,20,PE,72000.0,Sell,2024-01-08,Monday,09:41:00,437.25,-1748.9999999999998,-24.999999999999993,2024-01-12,,,Stop Loss Hit
